Wall time,Step,Value
1700620463.3786042,1941,0.699999988079071
1700620465.0822766,1946,0.8700000047683716
1700620465.7614112,1948,0.6499999761581421
1700620470.9673703,1961,0.7599999904632568
1700620471.4889407,1962,0.800000011920929
1700620479.3202412,1980,0.800000011920929
1700620519.3586307,2071,0.8199999928474426
1700620522.3103406,2080,0.8299999833106995
1700620527.119881,2090,0.7300000190734863
1700620532.5825715,2101,0.6299999952316284
1700620537.3908188,2116,0.7099999785423279
1700620538.6566136,2120,0.7900000214576721
1700620547.1313887,2140,0.550000011920929
1700620569.8356984,2195,0.6299999952316284
1700620574.7784195,2210,0.8299999833106995
1700620576.7069702,2216,0.5099999904632568
1700620587.4093947,2240,0.6700000166893005
1700620589.262845,2245,0.75
1700620617.5647023,2320,0.7699999809265137
1700620627.4922779,2343,0.6399999856948853
1700620633.0240915,2360,0.6299999952316284
1700620647.7326896,2395,0.8199999928474426
1700620664.5846932,2437,0.7599999904632568
1700620666.245316,2442,0.5699999928474426
1700620670.4701009,2455,0.7200000286102295
1700620674.2587504,2463,0.8600000143051147
1700620675.8563557,2466,0.7699999809265137
1700620683.8365357,2486,0.6000000238418579
1700620688.0695455,2499,0.6000000238418579
1700620689.7405462,2504,0.7699999809265137
1700620697.1158807,2518,0.8600000143051147
1700620698.1581333,2520,0.7200000286102295
1700620701.8151362,2531,0.7599999904632568
1700620720.1397867,2578,0.6899999976158142
1700620720.4778512,2579,0.6700000166893005
1700620728.2026424,2600,0.6700000166893005
1700620739.7600577,2628,0.6800000071525574
1700620742.34383,2636,0.7400000095367432
1700620745.5795407,2644,0.699999988079071
1700620757.3611224,2671,0.7900000214576721
1700620758.6541457,2675,0.7599999904632568
1700620760.9534209,2682,0.7699999809265137
1700620761.9425426,2685,0.6499999761581421
1700620765.9288409,2694,0.7200000286102295
1700620773.1337671,2709,0.8299999833106995
1700620774.703998,2714,0.800000011920929
1700620775.9827487,2718,0.7200000286102295
1700620781.4622147,2735,0.75
1700620783.83125,2740,0.7900000214576721
1700620784.3729742,2741,0.8100000023841858
1700620790.9204955,2754,0.8199999928474426
1700620791.2369487,2755,0.699999988079071
1700620791.574591,2756,0.6299999952316284
1700620794.8273559,2766,0.8500000238418579
1700620795.80824,2769,0.6299999952316284
1700620799.0292473,2779,0.6899999976158142
1700620801.940022,2786,0.5600000023841858
1700620813.446508,2813,0.7699999809265137
1700620821.7527242,2835,0.5600000023841858
1700620826.9700222,2845,0.6100000143051147
1700620832.602593,2862,0.7400000095367432
1700620832.929404,2863,0.8500000238418579
1700620855.4640725,2922,0.8500000238418579
1700620868.5323884,2953,0.8500000238418579
1700620869.5209086,2956,0.7900000214576721
1700620871.78268,2963,0.8799999952316284
1700620872.76523,2966,0.6399999856948853
1700620876.6326728,2974,0.6000000238418579
1700620900.5886197,3020,0.7099999785423279
1700620905.3696713,3035,0.5899999737739563
1700620909.5191653,3048,0.8100000023841858
1700620924.9291062,3084,0.7099999785423279
1700620925.2576542,3085,0.8299999833106995
1700620933.0117598,3104,0.75
1700620933.5304806,3105,0.7699999809265137
1700620934.044537,3106,0.7799999713897705
1700620939.8184283,3120,0.75
1700620940.1531284,3121,0.7599999904632568
1700620940.49127,3122,0.8299999833106995
1700620942.8218896,3129,0.7099999785423279
1700620949.1682177,3146,0.7200000286102295
1700620960.8484101,3174,0.6499999761581421
1700620968.2187297,3193,0.7699999809265137
1700620971.8812025,3200,0.75
1700620974.2459733,3205,0.7099999785423279
1700620978.5075889,3218,0.6499999761581421
1700620979.4838061,3221,0.7799999713897705
1700620988.0412736,3242,0.7900000214576721
1700620997.3733613,3266,0.550000011920929
1700620998.3340032,3269,0.7300000190734863
1700621014.0362294,3307,0.6800000071525574
1700621027.7298706,3341,0.800000011920929
1700621033.6141582,3357,0.6899999976158142
1700621039.4311202,3375,0.7300000190734863
1700621045.1654034,3386,0.699999988079071
1700621048.8862846,3394,0.800000011920929
1700621052.5470073,3405,0.7599999904632568
1700621057.0879464,3419,0.7599999904632568
1700621074.2905328,3462,0.7900000214576721
1700621084.4590485,3484,0.8399999737739563
1700621084.7763402,3485,0.8399999737739563
1700621087.0438292,3492,0.8100000023841858
1700621087.6908476,3494,0.7799999713897705
1700621089.9690616,3501,0.8299999833106995
1700621101.648489,3527,0.7400000095367432
1700621119.6916006,3567,0.7099999785423279
1700621121.2166803,3570,0.7900000214576721
1700621124.8513353,3577,0.8100000023841858
1700621128.771668,3589,0.8299999833106995
1700621132.780077,3601,0.6899999976158142
1700621138.5007539,3614,0.8299999833106995
